State,Waterbody,Count,NAS Infested?,Manual Override?
AZ,Lake Powell,56,TRUE,
ID,Lucky Peak Lake,11,FALSE,
CA,Camanche Reservoir,60,FALSE,
ID,Coeur dAlene Lake,13,FALSE,
MI,UNKNOWN,12,FALSE,
WA,Lake Washington,17,TRUE,
NV,Brand New,1,FALSE,
CA,Twin Lakes,15,FALSE,
MT,Whitefish Lake,2,FALSE,
BC,Okanagan Lake,4,FALSE,
UT,Bear Lake,7,FALSE,
CA,Marina del Ray (Pacific Ocean),10,FALSE,
CA,San Mateo Bay (Pacific Ocean),10,FALSE,
CA,Boca Reservoir,170,FALSE,
CA,Lake almanor,43,FALSE,
CA,Ice House Reservoir,13,FALSE,
AZ,Lake Havasu,107,TRUE,
CA,Perris Lake,35,TRUE,Y
CA,June lake,9,FALSE,
CA,Monterey Bay (Pacific Ocean),31,FALSE,
CA,Lake Silverwood,14,FALSE,
WI,Lake Michigan,3,TRUE,
CA,Lake Combie,3,FALSE,
CA,Lopez Lake,8,FALSE,
CA,Sacramento Delta,188,TRUE,
CA,Almanor Lake,74,FALSE,
OR,Lake Shasta,4,TRUE,Y
CA,Shasta Lake,115,TRUE,
UT,Utah Lake,22,FALSE,
CA,Lake Sonoma,164,FALSE,
CA,Bullards Bar Reservoir,130,FALSE,
CA,Crowley lake,11,TRUE,
TX,Lake Whitney,1,FALSE,
MO,Lake of the Ozarks,4,TRUE,
CA,Pacific Ocean,1,TRUE,
CA,Yosemite Lake,9,FALSE,
CA,Woodward Reservoir,31,FALSE,
NV,Washoe Lake,23,FALSE,
BC,Pacific Ocean,3,FALSE,
CA,Bass Lake,52,FALSE,
CA,Antelope Lake,6,FALSE,
CA,Pyramid Lake,36,TRUE,
AZ,Lake Pleasant,34,TRUE,
CA,Pardee Reservoir,3,FALSE,
CA,Don Pedro Lake,118,FALSE,
AR,Bull Shoals Lake,2,TRUE,
OR,Wilamette River,3,FALSE,
CA,Whiskeytown Lake,19,FALSE,
CA,Fallen Leaf Lake,33,FALSE,
OR,Lake Ewauna,1,FALSE,
AZ,Apache Lake,2,TRUE,
CA,California Delta,77,TRUE,Y
WA,Columbia River,8,TRUE,
AZ,Colorado River,25,TRUE,
NV,Lahontan Reservoir,88,TRUE,
CA,Bethel island (delta),6,FALSE,
CA,Echo Lakes,28,FALSE,
CA,Discovery Bay,26,TRUE,Y
NM,Navajo Lake,2,FALSE,
GA,Lake Oconee,3,FALSE,
NV,Truckee River,2,TRUE,
CA,Scotts Flat Reservoir,46,FALSE,
CA,Webber Lake,4,FALSE,
CA,Lake Pardee,5,FALSE,
CA,Jackson Meadows Reservoir,8,FALSE,
MI,Lake Michigan,3,TRUE,
CA,Bridgeport Reservoir,9,FALSE,
NV,Boca Reservoir,51,FALSE,
TN,Tennessee River,1,TRUE,
CA,Pine Flat Lake,14,FALSE,
CA,Lake Nacimiento,80,FALSE,
CA,Newport Beach (Pacific Ocean),15,FALSE,
TN,Lake telleco,2,FALSE,
CA,San Diego Bay (Pacific Ocean),55,FALSE,
CA,San Pablo Reservoir,5,FALSE,
TX,Austin Lake,2,TRUE,Y
UT,Sand Hollow Reservoir,11,TRUE,
CA,Don Pedro Reservoir,16,FALSE,
CA,Stockton Delta,7,TRUE,Y
OR,Lost Creek Lake,7,FALSE,
CA,New Bullards Bar Reservoir,6,FALSE,
CA,Lake webb,2,FALSE,
NC,Atlantic Ocean,1,FALSE,
CA,Lake Mendocino,12,FALSE,
CA,Lake Davis,13,FALSE,
CA,Private Lake,1,TRUE,
CA,Sutherland Lake,1,FALSE,
MX,Sea of Cortez,1,FALSE,
CA,Eagle Lake,13,FALSE,
NV,South Fork Reservoir,15,FALSE,
CA,Collins Lake,11,FALSE,
CO,None,7,TRUE,
CA,Orville lake,52,FALSE,
CA,Clear Lake,34,FALSE,
CA,Nacimiento Lake,8,TRUE,
NV,boca,52,FALSE,
MS,Enid Lake,1,FALSE,
CA,Lake Calero,18,FALSE,
CA,lake arrowhead,4,FALSE,
CA,Isabella Lake,14,FALSE,
CA,Lexington Reservoir,4,FALSE,
CA,Mammoth Lakes,1,FALSE,
CA,San Vicente Reservoir,32,TRUE,
CA,Kaweah Lake,9,FALSE,
CO,Eagle Lake,1,FALSE,
CA,Lake Tulloch,27,FALSE,
CA,Coyote Lake,35,FALSE,
CA,old river,1,TRUE,
WA,Lake Tapps,4,FALSE,
CA,Lake Jennings,1,TRUE,
CA,Morro Bay,2,FALSE,
ID,Priest Lake,1,TRUE,
ID,Deer Creek,3,FALSE,
WA,Lake Washington Ship Canal,1,FALSE,
AZ,Big Lake,1,FALSE,
CO,None,7,TRUE,
CA,Lake Valley Reservoir,1,FALSE,
WA,Lake Chelan,3,FALSE,
CA,Pardee Reservoir,3,FALSE,
OR,Bully Creek,1,TRUE,
ID,Owyhee River,1,FALSE,
CA,Webber Lake,4,FALSE,
WA,State of Washington,1,FALSE,
CA,Rollins Lake,36,FALSE,
CA,Lake tallac,3,TRUE,Y
CA,Stockton Delta,7,TRUE,Y
KY,Kentucky River,1,TRUE,
WA,Lake Tapps,4,FALSE,
CA,Kings River,5,FALSE,
CA,lake success,1,FALSE,
ID,C.J. Strike Reservoir,1,TRUE,
AL,Arkansas River,1,TRUE,Y
CA,Bethel island (delta),6,TRUE,Y
ID,Lake Cascade,1,FALSE,
TX,Austin Lake,2,TRUE,Y
NV,Spooner Lake,2,FALSE,
MI,Lake St Claire,1,FALSE,
CO,Carter Lake Reservoir,1,FALSE,
NV,San Vicente Reservoir,1,FALSE,
CA,San Mateo Bay (Pacific Ocean),10,FALSE,
NM,Navajo Lake,2,FALSE,
CA,Mono Lake,1,TRUE,
CA,Lake Silverwood,14,TRUE,Y
CA,Kelly Lake,2,FALSE,
CA,Del Valle Lake,4,FALSE,
WA,June Lake,1,FALSE,
BC Canada,,1,FALSE,
CA,Eel River,2,TRUE,
IN,Patoka Lake,1,FALSE,
CA,Lake Mary,2,FALSE,
TN,Tellico Lake,1,FALSE,
TN,Lake telleco,2,FALSE,
WA,Clear Lake,1,FALSE,
WY,Lake De Smet,2,FALSE,
FL,Banana River,1,FALSE,
CA,Milton lake,1,FALSE,
UT,east lake,1,FALSE,
OR,Henry Hagg Lake,1,FALSE,
IL,Lake Michigan,1,TRUE,
AR,Bull Shoals Lake,2,TRUE,
MT,Yellowtail Reservoir,2,FALSE,
NE,mallard landing lake,1,FALSE,
AK,Ocean,1,FALSE,
VA,Switzer Lake,1,FALSE,
OR,Crescent Lake,2,FALSE,
OR,Ochoco Reservoir,1,FALSE,
CA,Shadow Cliffs Lake,2,FALSE,
CA,san francisco bay,213,TRUE,
CA,Henshaw Lake,1,FALSE,
CA,Lake O Neil,1,FALSE,
OR,Oswego Lake,2,FALSE,
CA,Feather River,3,TRUE,
NE,Lake Maloney,1,FALSE,
OR,Fern Ridge Reservoir,1,FALSE,
OR,Howard Prairie Lake,1,FALSE,
WA,Lake Spanaway,1,FALSE,
OR,Sparks Lake,1,FALSE,
OR,Suttle Lake,2,FALSE,
NY,Atlantic Ocean,1,FALSE,
CA,lake buena vista,1,FALSE,
CA,Merced Lake,2,FALSE,
AR,Beaver Lake,1,FALSE,
CA,Lake Pardee,5,FALSE,
OR,Dorena Lake,1,FALSE,
CT,Bunnells Pond,1,FALSE,
CO,Lake Carter,1,FALSE,
